id,title,artist_ids,popularity,release_date
4iJyoBOLtHqaGxP12qzhQI,"Peaches (feat. Daniel Caesar & Giveon)","['1uNFoZAHBGtllmzznpCI3s', '20wkVLutqVOYrc0kxFs7rA', '4fxd5Ee7UefO4CUXgwJ7IP']",100,2021-03-19
7lPN2DXiMsVn7XUKtOW1CS,"drivers license","['1McMsnEElThX1knmY4oliG']",99,2021-01-08
3Ofmpyhv5UAQ70mENzB277,"Astronaut In The Ocean","['1uU7g3DNSbsu0QjSEqZtEd']",98,2021-01-06
5QO79kh1waicV47BqGRL3g,"Save Your Tears","['1Xyo4u8uXC1ZmMpatF05PJ']",97,2020-03-20
6tDDoYIxWvMLTdKpjFkc1B,"telepatía","['1U1el3k54VvEUzo3ybLPlM']",97,2020-12-04
0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","['1Xyo4u8uXC1ZmMpatF05PJ']",96,2020-03-20
7MAibcTli4IisCtbHKrGMh,"Leave The Door Open","['0du5cEVh5yTK9QJze8zA0C', '3jK9MiCrA42lLAdMGUZpwa', '6PvvGcCY2XtUcSRld1Wilr']",96,2021-03-05
6f3Slt0GbA2bPZlz0aIFXN,"The Business","['2o5jDhtHVPhrJdv3cEQ99Z']",95,2020-09-16
60ynsPSSKe6O3sfwRnIBRf,"Streets","['5cj0lLjcoR7YOSnhnX0Po5']",94,2019-11-07
3FAJ6O0NOHQV8Mc5Ri6ENp,"Heartbreak Anniversary","['4fxd5Ee7UefO4CUXgwJ7IP']",94,2020-03-27
27OeeYzk6klgBh83TSvGMA,"WITHOUT YOU","['2tIP7SsRs7vjIcLrU85W8J']",94,2020-11-06
1xK1Gg9SxG8fy2Ya373oqb,"Bandido","['7iK8PXO48WeuP03g8YR51W', '2LmcxBak1alK1bf7d1beTr']",94,2020-12-10
7Bk0uXKk1uPT0XuQbpFzvs,"Fiel","['0n6sKrG0xKAf8xmdqeNGke', '3E6xrwgnVfYCrCs0ePERDz', '0EFisYRi20PTADoJrifHrz']",94,2021-02-04
4cG7HUWYHBV6R6tHn1gxrl,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","['7i9j813KFoSBMldGqlh2Z1', '1gALaWbNDnwS2ECV09sn2A', '4L2dV3zY7RmkeiNO035Fi0', '3Edve4VIATi0OZngclQlkN']",94,2021-01-15
2XIc1pqjXV3Cr2BQUGNBck,"LA NOCHE DE ANOCHE","['4q3ewBCX7sLwd24euuV69X', '7ltDVBr6mKbRvohxheJ9h1']",93,2020-11-27
3YJJjQPAbDT7mGpX3WtQ9A,"Good Days","['7tYKF4w9nC0nq9CsPZTHyP']",93,2020-12-25
6UelLqGlWMcVH1E5c4H7lY,"Watermelon Sugar","['6KImCVD70vtIoJWnq6nGn3']",92,2019-12-13
47EiUVwUp4C9fGccaPuUCS,"DÁKITI","['4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz']",92,2020-10-30
35mvY5S1H3J2QZyna3TFe0,"positions","['66CXWjxzNUsdJxJ2JdwvnR']",92,2020-10-30
3VvA1wSxukMLsvXoXtlwWx,"Hecha Pa' Mi","['2NfSBtmWe7oPw1EmetJVso']",92,2020-07-31
6ft4hAq6yde8jPZY2i5zLr,"Paradise (feat. Dermot Kennedy)","['0xRXCcSX89eobfrshSVdyu', '5KNNVgR6LBIABRIomyCwKJ']",92,2020-10-30
5YYW3yRktprLRr47WK219Y,"Ella No Es Tuya - Remix","['4riOEaOW5hCeqomFDBk0aP', '7iK8PXO48WeuP03g8YR51W', '2UZIAOlrnyZmyzt1nuXr9y']",92,2021-02-03
1XXimziG1uhM0eDNCZCrUl,"Up","['4kYSro6naA4h99UJvo89HB']",92,2021-02-05
